dist_id,year,state_name,dist_num,div_name,reg_name,population,households,income_mean,income_median
20104002,2010,Oklahoma,2,West South Central,South,722305,275966,47891,36873
20104003,2010,Oklahoma,3,West South Central,South,719052,273671,55984,42788
20104004,2010,Oklahoma,4,West South Central,South,763036,288723,59291,46871
20104005,2010,Oklahoma,5,West South Central,South,735256,288503,61588,41928
20104101,2010,Oregon,1,Pacific,West,782216,310135,76165,57999
20104102,2010,Oregon,2,Pacific,West,760899,305701,57778,44768
20104103,2010,Oregon,3,Pacific,West,741792,295817,64772,50645
20104104,2010,Oregon,4,Pacific,West,731888,301638,55043,42238
20104105,2010,Oregon,5,Pacific,West,745130,285976,69014,51843
20104201,2010,Pennsylvania,1,Middle Atlantic,Northeast,648477,236816,46599,32752
20104202,2010,Pennsylvania,2,Middle Atlantic,Northeast,617131,251135,54903,36188
20104203,2010,Pennsylvania,3,Middle Atlantic,Northeast,640580,252125,55754,43707
20104204,2010,Pennsylvania,4,Middle Atlantic,Northeast,643630,258350,76866,55977
20104205,2010,Pennsylvania,5,Middle Atlantic,Northeast,651688,256241,52407,41214
20104206,2010,Pennsylvania,6,Middle Atlantic,Northeast,717367,272764,96741,70541
20104207,2010,Pennsylvania,7,Middle Atlantic,Northeast,668126,254539,94925,71241
20104208,2010,Pennsylvania,8,Middle Atlantic,Northeast,669299,246463,93896,74012
20104209,2010,Pennsylvania,9,Middle Atlantic,Northeast,664701,260535,55571,44639
20104210,2010,Pennsylvania,10,Middle Atlantic,Northeast,666633,262314,58495,45286
20104211,2010,Pennsylvania,11,Middle Atlantic,Northeast,682974,268687,56434,44271
20104212,2010,Pennsylvania,12,Middle Atlantic,Northeast,614480,253138,50232,39187
20104213,2010,Pennsylvania,13,Middle Atlantic,Northeast,671165,252510,81219,60525
20104214,2010,Pennsylvania,14,Middle Atlantic,Northeast,590107,262138,51379,36698
20104215,2010,Pennsylvania,15,Middle Atlantic,Northeast,711324,272318,71936,57030
20104216,2010,Pennsylvania,16,Middle Atlantic,Northeast,710569,260342,72896,55640
20104217,2010,Pennsylvania,17,Middle Atlantic,Northeast,676182,269823,62658,51139
20104218,2010,Pennsylvania,18,Middle Atlantic,Northeast,650445,268339,73015,56491
20104219,2010,Pennsylvania,19,Middle Atlantic,Northeast,717827,282004,70235,58036
20104401,2010,Rhode Island,1,New England,Northeast,523375,206909,71246,53111
20104402,2010,Rhode Island,2,New England,Northeast,533014,203396,72634,56789
20104501,2010,South Carolina,1,South Atlantic,South,825314,331490,66464,49537
20104502,2010,South Carolina,2,South Atlantic,South,797635,310274,68590,51842
20104503,2010,South Carolina,3,South Atlantic,South,711295,275598,54609,41260
20104504,2010,South Carolina,4,South Atlantic,South,750127,291960,60494,44576
20104505,2010,South Carolina,5,South Atlantic,South,749068,282915,53530,40787
20104506,2010,South Carolina,6,South Atlantic,South,677989,249757,46060,33925
20104600,2010,South Dakota,0,West North Central,Midwest,799462,315468,59729,46369
20104701,2010,Tennessee,1,East South Central,South,676858,282423,50030,37116
20104702,2010,Tennessee,2,East South Central,South,710198,292595,61404,45735
20104703,2010,Tennessee,3,East South Central,South,680072,271893,57311,41457
20104704,2010,Tennessee,4,East South Central,South,679715,267930,49872,37962
20104705,2010,Tennessee,5,East South Central,South,688469,278836,64150,46532
20104706,2010,Tennessee,6,East South Central,South,765750,288966,58797,46850
20104707,2010,Tennessee,7,East South Central,South,766798,279757,83360,61949
20104708,2010,Tennessee,8,East South Central,South,656125,249300,50654,38170
20104709,2010,Tennessee,9,East South Central,South,610983,231775,55297,37369
20104801,2010,Texas,1,West South Central,South,708897,263588,58500,42089
20104802,2010,Texas,2,West South Central,South,755618,262379,74872,57418
20104803,2010,Texas,3,West South Central,South,813018,292722,91963,68916
20104804,2010,Texas,4,West South Central,South,813646,292636,67203,52182
20104805,2010,Texas,5,West South Central,South,708807,251689,64042,48709
20104806,2010,Texas,6,West South Central,South,786162,279055,69297,54518
20104807,2010,Texas,7,West South Central,South,762032,312970,108239,70152
20104808,2010,Texas,8,West South Central,South,801094,285052,72604,52424
20104809,2010,Texas,9,West South Central,South,712671,244666,51561,38091
20104810,2010,Texas,10,West South Central,South,922082,330169,82679,62488
20104811,2010,Texas,11,West South Central,South,695286,258727,62732,44799
20104812,2010,Texas,12,West South Central,South,800623,288264,70574,53652
20104813,2010,Texas,13,West South Central,South,666053,244794,58481,44056
20104814,2010,Texas,14,West South Central,South,750607,268007,75190,56895
20104815,2010,Texas,15,West South Central,South,759240,227354,48453,34084
20104816,2010,Texas,16,West South Central,South,730966,232671,50850,36512
20104817,2010,Texas,17,West South Central,South,738346,263225,59110,44183
20104818,2010,Texas,18,West South Central,South,698626,240439,52970,37339
20104819,2010,Texas,19,West South Central,South,683504,250436,56506,41522
20104820,2010,Texas,20,West South Central,South,690971,241182,47312,37347
20104821,2010,Texas,21,West South Central,South,822785,317434,85766,61067
